,MaterialNumber,SubstituteMaterialNumber,SubstitutionType
8705,AMB000252055,DYNJAAMASK56,Direct Cross
8706,AMB000252056,CPRMASK15R,Class of Trade Cross
8707,AMB000252056,DYNJAAMASK46,Direct Cross
8708,AMB000252056,DYNJAAMASK56,Direct Cross
8709,AMB000252951,DYNJAAMASK31,Class of Trade Cross
8710,AMB000252951,DYNJAAMASK51,Direct Cross
8711,AMB000252951,DYNJAAMASKX5,Direct Cross
8712,AMB000252951,FBD000252951Z,Direct Cross
8713,AMB000252952,AMB000252052,Direct Cross
8714,AMB000252952,DYNJAAMASK2,Class of Trade Cross
8715,AMB000252953,DYNJAAMASK43,Direct Cross
8716,AMB000252954,DYNJAAMASK44,Direct Cross
8717,AMB000252955,DYNJAAMASK45,Direct Cross
8718,AMB000252956,DYNJAAMASK46,Direct Cross
8719,AMB000252956,DYNJAAMASKX6,Class of Trade Cross
8720,AMB000281161,ORT12000C,Similar Cross
8721,AMB0415MBX,MDSM616201,Direct Cross
8722,AMB0940,DYNJAACALLDIV,Direct Cross
8723,AMB0940,HCS4607GS,Similar Cross
8724,AMB1012CS,KNG1012,Similar Cross
8725,AMB1022CS,DYNJAAMASK2,Direct Cross
8726,AMB1022CS,DYNJAAMASK32,Direct Cross
8727,AMB1022CS,FBD1022,Direct Cross
8728,AMB1055375,AMB20802,Direct Cross
8729,AMB1055375,CPRMFILT30,Value Cross
8730,AMB1101000BX,AMB601101000,Direct Cross
8731,AMB1166121Z,DYNJAACALLDIV,Direct Cross
8732,AMB1202930,SMKM0570C,Direct Cross
8733,AMB1203105,COKG44120,Direct Cross
8734,AMB1212Y6121,DYNJAACALLDIV,Direct Cross
8735,AMB1213B6121Z,DYNJAACALLDIV,Direct Cross
8736,AMB121413621,DYNJAACALLDIV,Direct Cross
8737,AMB13F13621Z,DYNJAACALLDIV,Direct Cross
8738,AMB1505KC12BX,AMB71505KC12,Direct Cross
8739,AMB1508KC12BX,AMB71508KC12,Direct Cross
8740,AMB172713,AMB000172713,Direct Cross
8741,AMB172713,CERFLOCAP,Class of Trade Cross
8742,AMB172713,CPRM2400,Class of Trade Cross
8743,AMB18223BX,AMB18223EA,Similar Cross
8744,AMB18223EA,AMB18223BX,Similar Cross
8745,AMB199002020,AMB199003020,Direct Cross
8746,AMB199002020,BXT2K8082,Direct Cross
8747,AMB199002020,CPRMP30,Direct Cross
8748,AMB199003020,AMB199002020,Direct Cross
8749,AMB199003020,BXT2K8080,Direct Cross
8750,AMB199003020,BXT2K8082,Direct Cross
8751,AMB199003020,CPRMP30,Direct Cross
8752,AMB199003020,HUD5385,Direct Cross
8753,AMB199003100,BXT2K8082,Similar Cross
8754,AMB199003100,CPRMP19,Direct Cross
8755,AMB20211000B,AMB521611700,Direct Cross
8756,AMB20211000B,CPRM4416,Direct Cross
8757,AMB20211011CS,AMB521611700,Direct Cross
8758,AMB20211011CS,CPRM1116,Direct Cross
8759,AMB20611061,AMB521611001,Direct Cross
8760,AMB20611061,CPRM1116FP,Similar Cross
8761,AMB20611061,SIN520611061,Direct Cross
8762,AMB20611061,SINAF5140MB,Direct Cross
8763,AMB20802,AMB1055375,Direct Cross
8764,AMB211061ECS,CPRM1116FP,Similar Cross
8765,AMB21212P61,DYNJAACALLDIV,Direct Cross
8766,AMB213B6121Z,DYNJAACALLDIV,Direct Cross
8767,AMB213F6121Z,DYNJAACALLDIV,Direct Cross
8768,AMB21456442Z,DYNJAACALLDIV,Direct Cross
8769,AMB21900000,AMB321900000,Direct Cross
8770,AMB22516W61,DYNJAACALLDIV,Direct Cross
8771,AMB23611051E,TAH5140MBEA,Direct Cross
8772,AMB24300000U,DYND300030S,Direct Cross
8773,AMB24300000U,SMKM0313,Direct Cross
8774,AMB24400000U,DYND300040S,Direct Cross
8775,AMB24400000U,SMKM0323,Direct Cross
8776,AMB2506V6121,DYNJAACALLDIV,Direct Cross
8777,AMB2607P61,DYNJAACALLDIV,Direct Cross
8778,AMB264201,ORT12800P1,Class of Trade Cross
8779,AMB264205,ORT12600400E,Class of Trade Cross
8780,AMB2706P19021,DYNJAACALLDIV,Direct Cross
8781,AMB2706P4228,DYNJAACALLDIV,Direct Cross
8782,AMB2707P61,DYNJAACALLDIV,Direct Cross
8783,AMB2707P61,DYNJAP7213,Direct Cross
8784,AMB2707Y6121,DYNJAACALLDIV,Direct Cross
8785,AMB281000,IHD984000EA,Direct Cross
8786,AMB281000,ORT12000A,Similar Cross
8787,AMB281000,QTX300N10,Direct Cross
8788,AMB281106,ORT12000C,Similar Cross
8789,AMB2907P6121,DYNJAACALLDIV,Direct Cross
8790,AMB300000UCS,AMB321100UCS,Direct Cross
8791,AMB300000UCS,AMB321300000,Similar Cross
8792,AMB300000UCS,DYND300030S,Direct Cross
8793,AMB31156121Z,DYNJAACALLDIV,Direct Cross
8794,AMB31206121Z,DYNJAACALLDIV,Direct Cross
8795,AMB31366WSNZ,DYNJAACALLDIV,Direct Cross
8796,AMB321100000,DYND300010S,Direct Cross
8797,AMB321100UCS,AMB300000UCS,Direct Cross
8798,AMB321150000,AMB321150UCS,Direct Cross
8799,AMB321150UCS,AMB321150000,Direct Cross
8800,AMB321150UCS,DYND300015S,Similar Cross
8801,AMB321200000,AMB32120UCS,Direct Cross
8802,AMB321200000,DYND300020S,Direct Cross
8803,AMB32120UCS,AMB321200000,Direct Cross
8804,AMB32120UCS,DYND300020S,Similar Cross
8805,AMB321250000,AMB321250UCS,Direct Cross
8806,AMB321250UCS,AMB321250000,Direct Cross
8807,AMB321250UCS,DYND300025S,Similar Cross
8808,AMB321300000,AMB300000UCS,Similar Cross
8809,AMB321300000,DYND300030S,Direct Cross
8810,AMB321300000,FBD321300000U,Direct Cross
8811,AMB321300000,HUD5300000030,Direct Cross
8812,AMB321400000,AMB32140UCS,Direct Cross
8813,AMB321400000,AMB408400000,Direct Cross
8814,AMB321400000,DYND300040,Direct Cross
8815,AMB321400000,DYND300040S,Direct Cross
8816,AMB32140UCS,AMB321400000,Direct Cross
8817,AMB32140UCS,DYND300040S,Similar Cross
8818,AMB321500000,AMB32150UCS,Direct Cross
8819,AMB321500000,AMB408500000,Direct Cross
8820,AMB321500000,HUD5300000050,Direct Cross
8821,AMB32150UCS,AMB321500000,Direct Cross
8822,AMB32150UCS,DYND300050S,Similar Cross
8823,AMB321900000,AMB21900000,Direct Cross
8824,AMB321900000,MDS9414,Direct Cross
8825,AMB322004000,AMB3220040CS,Direct Cross
8826,AMB3220040CS,AMB322004000,Direct Cross
8827,AMB324100000U,DYND300010S,Direct Cross
8828,AMB324100000U,HUD200000010,Direct Cross
8829,AMB324100000U,HUD300000010,Direct Cross
8830,AMB324100100,DYND300010S,Similar Cross
8831,AMB324150000,DYND300015S,Direct Cross
8832,AMB324150000,HUD300000015,Direct Cross
8833,AMB324200000,AMB324200100,Direct Cross
8834,AMB324200000,DYND300020S,Direct Cross
8835,AMB324200000,HUD300000020,Direct Cross
8836,AMB324200100,AMB324200000,Direct Cross
8837,AMB324250000,DYND300025S,Direct Cross
8838,AMB324250000,DYND300040S,Direct Cross
8839,AMB324250000,FBD324250000U,Direct Cross
8840,AMB324250000,HUD300000025,Direct Cross
8841,AMB324250100,DYND300025S,Similar Cross
8842,AMB324300100,DYND300030P,Direct Cross
8843,AMB324300100,HUD1F8030,Direct Cross
8844,AMB32430UCS,DYND300030S,Direct Cross
8845,AMB324400000,AMB32440UCS,Direct Cross
8846,AMB324400000,DYND300030S,Direct Cross
8847,AMB324400000,DYND300040S,Direct Cross
8848,AMB324400100,DYND300040S,Direct Cross
8849,AMB324400100,HUD1F8040,Direct Cross
8850,AMB32440UCS,AMB324400000,Direct Cross
8851,AMB32440UCS,DYND300040S,Direct Cross
8852,AMB324500000,AMB32450UCS,Direct Cross
8853,AMB324500000,DYND300050S,Direct Cross
8854,AMB324500100,HUD1F8050,Direct Cross
8855,AMB32450UCS,AMB324500000,Direct Cross
8856,AMB32450UCS,DYND300050S,Direct Cross
8857,AMB327300000,SMKM0315,Direct Cross
8858,AMB329100000U,ISU8201000,Direct Cross
8859,AMB329150000U,ISU8215000,Direct Cross
8860,AMB329250000U,HUD300000025,Direct Cross
8861,AMB329250000U,ISU8225000,Direct Cross
8862,AMB329300000U,AMB32930UCS,Direct Cross
8863,AMB329300000U,HUD1D2030,Direct Cross
8864,AMB32930UCS,AMB329300000U,Direct Cross
8865,AMB329400000U,AMB32940UCS,Direct Cross
8866,AMB329400000U,HUD1D2040,Direct Cross
8867,AMB329400000U,ISU8204000,Direct Cross
8868,AMB32940UCS,AMB329400000U,Direct Cross
8869,AMB329500000U,HUD1D2050,Direct Cross
8870,AMB342300000,DYND300030S,Similar Cross
8871,AMB342300000,HUD5200000030,Direct Cross
8872,AMB342400000,DYND300040S,Similar Cross
8873,AMB342500000,DYND300050S,Similar Cross
8874,AMB3611017CS,AMB523611017,Direct Cross
8875,AMB3611017CS,AMB523611030,Direct Cross
8876,AMB3611017CS,CPRM4416,Similar Cross
8877,AMB3766121Z,DYNJAAF6410,Direct Cross
8878,AMB390111000,MDS0425551,Direct Cross
8879,AMB3B6121Z90,DYNJAACALLDIV,Direct Cross
8880,AMB3F13221Z,DYNJAA0104,Direct Cross
8881,AMB3F13221Z,DYNJAA0110,Direct Cross
8882,AMB3F13221Z,DYNJAA9120,Direct Cross
8883,AMB3F13221Z,DYNJAACALLDIV,Direct Cross
8884,AMB3F13621Z,DYNJAACALLDIV,Direct Cross
8885,AMB3F19021Z,DYNJAACALLDIV,Direct Cross
8886,AMB3F84B21Z,DYNJAACALLDIV,Direct Cross
8887,AMB4012112,DYNJAACALLDIV,Direct Cross
8888,AMB4014P409,DYNJAACALLDIV,Direct Cross
8889,AMB408400000,AMB321400000,Direct Cross
8890,AMB408400000,HUD1D2040,Direct Cross
8891,AMB408400000,HUDALBF040SU,Direct Cross
8892,AMB408500000,AMB321500000,Direct Cross
8893,AMB41106121Z,DYNJAACALLDIV,Direct Cross
8894,AMB4231Z,DYNJAACALLDIV,Direct Cross
8895,AMB4500M,AMB4500MBX,Direct Cross
8896,AMB4500M,CND1500030,Class of Trade Cross
8897,AMB4500M,MDSM618350,Similar Cross
8898,AMB4500M,MMM2570,Class of Trade Cross
8899,AMB4500MBX,AMB4500M,Direct Cross
8900,AMB4500MBX,MDSM619350R,Direct Cross
8901,AMB453F1361Z,DYNJAACALLDIV,Direct Cross
8902,AMB4706121Z,DYNJAACALLDIV,Direct Cross
8903,AMB520200000,CPRM1116,Direct Cross
8904,AMB520211000,AMB520611000,Similar Cross
8905,AMB520211000,AMB521611000,Direct Cross
8906,AMB520211000,BXT2K8005,Direct Cross
8907,AMB520211000,CPRM1116,Direct Cross
8908,AMB520211000,CPRM4416,Similar Cross
8909,AMB520211000,TAH7AF5000MB,Direct Cross
8910,AMB520211001,CPRM1116P,Direct Cross
8911,AMB520211001,CPRM4416P,Direct Cross
8912,AMB520211001,PTX8503P,Direct Cross
8913,AMB520211001,PTX8506P,Direct Cross
8914,AMB520211010,AMB520611000,Similar Cross
8915,AMB520211010,AMB521611700,Direct Cross
8916,AMB520211010,CPRM1116,Class of Trade Cross
8917,AMB520211010,CPRM4416,Direct Cross
8918,AMB520211014,CPRM4416,Direct Cross
8919,AMB520211034,AMB520211048,Direct Cross
8920,AMB520211034,CPRM1116,Direct Cross
8921,AMB520211041,CPRM1116,Direct Cross
8922,AMB520211048,AMB520211034,Direct Cross
8923,AMB520211048,CPRM1116,Direct Cross
8924,AMB520211061,CPRM4416,Direct Cross
8925,AMB520212000,CPRM4416,Direct Cross
8926,AMB520212001,CPRM4416,Direct Cross
8927,AMB520214000,CPRM1116,Direct Cross
8928,AMB520217000,CPRM1116,Direct Cross
8929,AMB520600001,CPRM4416,Direct Cross
8930,AMB520611000,AMB520211000,Similar Cross
8931,AMB520611000,AMB520211010,Similar Cross
8932,AMB520611000,AMB520611700,Direct Cross
8933,AMB520611000,AMB524611000,Direct Cross
8934,AMB520611000,AMB524611001,Direct Cross
8935,AMB520611000,BXT2K8000,Direct Cross
8936,AMB520611000,BXT2K8001,Similar Cross
8937,AMB520611000,BXT2K8004,Direct Cross
8938,AMB520611000,BXT2K8035,Direct Cross
8939,AMB520611000,BXT2K8036,Direct Cross
8940,AMB520611000,CPRM1116,Direct Cross
8941,AMB520611000,CPRM1116P,Direct Cross
8942,AMB520611000,CPRM1126,Direct Cross
8943,AMB520611000,CPRM4416,Direct Cross
8944,AMB520611000,HUD5345,Direct Cross
8945,AMB520611000,HUD5372,Similar Cross
8946,AMB520611000,MCM1055701,Direct Cross
8947,AMB520611000,PTX8500,Similar Cross
8948,AMB520611000,PTX8500P,Direct Cross
8949,AMB520611000,PTXV8500,Direct Cross
8950,AMB520611000,TAH3015582,Similar Cross
8951,AMB520611000,TAH3015735,Direct Cross
8952,AMB520611000,TAH7AF5000MB,Direct Cross
8953,AMB520611000,TAH87AF5040MB,Direct Cross
8954,AMB520611001,BXT2K8035,Direct Cross
8955,AMB520611001,CPRM1116P,Direct Cross
8956,AMB520611001,CPRM4416P,Direct Cross
8957,AMB520611001,FBD520611001,Direct Cross
8958,AMB520611010,CPRM1116,Direct Cross
8959,AMB520611011,CPRM4416,Similar Cross
8960,AMB520611014,CPRM1116,Direct Cross
8961,AMB520611019,CPRM1116,Direct Cross
8962,AMB520611048,CPRM1116F,Direct Cross
8963,AMB520611048,CPRM4416F,Direct Cross
8964,AMB520611072,CPRM4416P,Direct Cross
8965,AMB520611700,AMB520611000,Direct Cross
8966,AMB520611701,AMB000172712,Direct Cross
8967,AMB520611701,CFU2K8085,Direct Cross
8968,AMB520611701,CPRM4416P,Similar Cross
8969,AMB520612000,CPRM1116,Direct Cross
8970,AMB520614000,CPRM1116,Similar Cross
8971,AMB520615000,CPRM4416,Similar Cross
8972,AMB520616000,CPRM1116,Direct Cross
8973,AMB521600000,CPRM4416,Direct Cross
8974,AMB521611000,AMB520211000,Direct Cross
8975,AMB521611000,CPRM1116,Direct Cross
8976,AMB521611000,CPRM1126,Direct Cross
8977,AMB521611000,CPRM4416,Direct Cross
8978,AMB521611000,CPRM4426,Direct Cross
8979,AMB521611000,PTX8503,Similar Cross
8980,AMB521611000,PTXV8503,Direct Cross
8981,AMB521611000,TAH7AF5000MB,Direct Cross
8982,AMB521611001,AMB20611061,Direct Cross
8983,AMB521611001,CPRM1126P,Class of Trade Cross
8984,AMB521611010,CPRM4416,Direct Cross
8985,AMB521611011,CPRM1116,Direct Cross
8986,AMB521611013,CPRM4416P,Direct Cross
8987,AMB521611018,CPRM1116,Direct Cross
8988,AMB521611037,CPRM4426,Direct Cross
8989,AMB521611038,CPRM1116,Direct Cross
8990,AMB521611048,CPRM1116,Direct Cross
8991,AMB521611049,CPRM4416FP,Direct Cross
8992,AMB521611061,CPRM1116FP,Similar Cross
8993,AMB521611700,AMB20211000B,Direct Cross
8994,AMB521611700,AMB20211011CS,Direct Cross
8995,AMB521611700,AMB520211010,Direct Cross
8996,AMB521611700,CPRM1116,Direct Cross
8997,AMB521612000,CPRM1116,Direct Cross
8998,AMB522611000,CPRM1126,Direct Cross
8999,AMB522611000,CPRM4426,Direct Cross
9000,AMB523211000,CPRM4416,Direct Cross
9001,AMB523211001,CPRM4416PM,Direct Cross
9002,AMB523611000,CPRM4416M,Direct Cross
9003,AMB523611001,CPRM4416PM,Direct Cross
9004,AMB523611017,AMB3611017CS,Direct Cross
9005,AMB523611030,AMB3611017CS,Direct Cross
9006,AMB523611030,CPRM1116FM,Direct Cross
9007,AMB523611030,CPRM4416M,Direct Cross
9008,AMB523611030,SMIAF5140MB,Direct Cross
9009,AMB523611031,AMB523632016,Direct Cross
9010,AMB523611031,CPRM4416,Direct Cross
9011,AMB523611031,MCM1055059,Direct Cross
9012,AMB523611051,CPRM4416FPM,Similar Cross
9013,AMB523611057,CPRM1116,Direct Cross
9014,AMB523611730,CPRM1116M,Similar Cross
9015,AMB523611730,CPRM4416,Direct Cross
9016,AMB523611751,CPRM1116FPM,Direct Cross
9017,AMB523611751,CPRM4416FPM,Direct Cross
9018,AMB523632016,AMB523611031,Direct Cross
9019,AMB523632016,CPRM4416M,Direct Cross
9020,AMB524611000,AMB520611000,Direct Cross
9021,AMB524611000,CPRM1116,Direct Cross
9022,AMB524611001,AMB520611000,Direct Cross
9023,AMB524611011,CPRM4426,Direct Cross
9024,AMB524611017,CPRM1116,Direct Cross
9025,AMB524611047,CPRM1116,Direct Cross
9026,AMB530200000,CPRM3312,Similar Cross
9027,AMB530212000,CPRM2216,Class of Trade Cross
9028,AMB530212001,CPRM3312,Direct Cross
9029,AMB530212025,CPRM2216,Similar Cross
9030,AMB530212033,CPRM2216M,Direct Cross
9031,AMB530213000,AMB530233000,Direct Cross
9032,AMB530213000,AMB531613031,Similar Cross
9033,AMB530213000,CPRM2216,Direct Cross
9034,AMB530213000B,CPRM2216,Class of Trade Cross
9035,AMB530213001,CPRM2216P,Direct Cross
9036,AMB530213010,CPRM2216,Direct Cross
9037,AMB530213011,CPRM2216P,Similar Cross
9038,AMB530213030,CPRM2216M,Direct Cross
9039,AMB530213031,CPRM2216,Direct Cross
9040,AMB530213034,CPRM2216,Direct Cross
9041,AMB530213051,CPRM2216,Similar Cross
9042,AMB530213051,CPRM2216FPM,Similar Cross
9043,AMB530213800,CPRM2216,Direct Cross
9044,AMB530215000,AMB531613000,Direct Cross
9045,AMB530215000,CPRM2216,Direct Cross
9046,AMB530215000B,CPRM2216,Direct Cross
9047,AMB530215000B,DYNJAACALLDIV,Class of Trade Cross
9048,AMB530215031,CPRM2216PM,Similar Cross
9049,AMB530233000,AMB530213000,Direct Cross
9050,AMB530233000,CPRM2216,Direct Cross
9051,AMB530600000,CPRM2226,Direct Cross
9052,AMB530600001,CPRM2216P,Direct Cross
9053,AMB530612000,CPRM2216,Direct Cross
9054,AMB530612001,CPRM2226P,Direct Cross
9055,AMB530612054,CPRM2216FM,Direct Cross
9056,AMB530612800,CPRM2216,Direct Cross
9057,AMB530613000,AMB530614000,Direct Cross
9058,AMB530613000,AMB531613000,Direct Cross
9059,AMB530613000,CPRM2216,Direct Cross
9060,AMB530613000,CPRM2216P,Direct Cross
9061,AMB530613000,HUD5346,Direct Cross
9062,AMB530613000,HUD5367,Similar Cross
9063,AMB530613000,PTX8515P,Direct Cross
9064,AMB530613000,PTX8520,Similar Cross
9065,AMB530613000,PTX8520B,Similar Cross
9066,AMB530613001,CPRM2216P,Direct Cross
9067,AMB530613001,FBD530613001,Direct Cross
9068,AMB530613017,CPRM3312F,Direct Cross
9069,AMB530613030,CPRM2216M,Direct Cross
9070,AMB530613031,AMB531613000,Direct Cross
9071,AMB530613031,CPRM2216PM,Direct Cross
9072,AMB530613031,MCM1056110,Direct Cross
9073,AMB530613048,CPRM2216F,Similar Cross
9074,AMB530613051,AMB531613001,Direct Cross
9075,AMB530613051,CPRM2216FPM,Value Cross
9076,AMB530613051,SIN530613051,Direct Cross
9077,AMB530613055,CPRM4426,Similar Cross
9078,AMB530613061,CPRM2216FP,Direct Cross
9079,AMB530613071,CPRM3322P,Similar Cross
9080,AMB530613073,CPRM2216,Direct Cross
9081,AMB530613830,CPRM2226,Direct Cross
9082,AMB530614000,AMB530613000,Direct Cross
9083,AMB530614000,CPRM2216,Direct Cross
9084,AMB530614030,CPRM2216M,Direct Cross
9085,AMB530615000,CPRM2216,Direct Cross
9086,AMB530615030,CPRM2216M,Direct Cross
9087,AMB530615031,CPRM2216,Similar Cross
9088,AMB530619000,CPRM2216,Direct Cross
9089,AMB530619031,CPRM2216PM,Direct Cross
9090,AMB531600000,CPRM2226,Direct Cross
9091,AMB531611000,CPRM2216,Direct Cross
9092,AMB531612000,CPRM2216,Direct Cross
9093,AMB531613000,AMB530215000,Direct Cross
9094,AMB531613000,AMB530613000,Direct Cross
9095,AMB531613000,AMB530613031,Direct Cross
9096,AMB531613000,BXT2K8020,Direct Cross
9097,AMB531613000,CPRM2216,Direct Cross
9098,AMB531613001,AMB530613051,Direct Cross
9099,AMB531613001,CPRM2216,Direct Cross
9100,AMB531613010,CPRM2216,Direct Cross
9101,AMB531613017,CPRM2216,Direct Cross
9102,AMB531613030,CPRM2216,Direct Cross
9103,AMB531613030,CPRM2226M,Direct Cross
9104,AMB531613031,AMB530213000,Similar Cross
9105,AMB531613031,CPRM2216,Direct Cross
9106,AMB531613047,CPRM2226,Direct Cross
9107,AMB531613051,CPRM2216,Direct Cross
9108,AMB531614026,CPRM2226,Direct Cross
9109,AMB531614030,CPRM2216,Direct Cross
9110,AMB531615000,CPRM2216,Direct Cross
9111,AMB540200031,CPRM3322P,Direct Cross
9112,AMB540211000,AMB544216030,Direct Cross
9113,AMB540211000,CPRM3312,Similar Cross
9114,AMB540211000,CPRM3312M,Class of Trade Cross
9115,AMB540211000,VSI5503,Direct Cross
9116,AMB540211001,CPRM3312,Direct Cross
9117,AMB540211030,CPRM3312M,Direct Cross
9118,AMB540211031,CPRM3312M,Direct Cross
9119,AMB540211057,CPRM3312,Direct Cross
9120,AMB540212000,AMB540212830,Direct Cross
9121,AMB540212000,CPRM3312,Direct Cross
9122,AMB540212000,PTX8529M,Similar Cross
9123,AMB540212001,CPRM3312P,Class of Trade Cross
9124,AMB540212010,CPRM3312,Direct Cross
9125,AMB540212017,CPRM3312F,Direct Cross
9126,AMB540212030,CPRM3322M,Direct Cross
9127,AMB540212031,CPRM3322P,Direct Cross
9128,AMB540212049,CPRM3312F,Similar Cross
9129,AMB540212051,CPRM3322PM,Similar Cross
9130,AMB540212061,CPRM3312FP,Direct Cross
9131,AMB540212830,AMB540212000,Direct Cross
9132,AMB540212830,CPRM3312,Direct Cross
9133,AMB540216000,CPRM3312,Direct Cross
9134,AMB540216030,CPRM3312,Direct Cross
9135,AMB540216030,FBD540216030,Direct Cross
9136,AMB540216031,CPRM3312PM,Direct Cross
9137,AMB544200000,CPRM3312,Direct Cross
9138,AMB544200030,CPRM3312M,Direct Cross
9139,AMB544211000,CPRM3312,Direct Cross
9140,AMB544211000,PTX8528M,Direct Cross
9141,AMB544211030,CPRM3312,Direct Cross
9142,AMB544211031,AMB544212000,Direct Cross
9143,AMB544211031,CPRM3312,Direct Cross
9144,AMB544211047,CPRM3322,Direct Cross
9145,AMB544212000,AMB544211031,Direct Cross
9146,AMB544212000,AMB544216000,Similar Cross
9147,AMB544212000,BXT2K8010,Similar Cross
9148,AMB544212000,BXT2K8021,Similar Cross
9149,AMB544212000,CPRM3312M,Direct Cross
9150,AMB544212000,CPRM3322,Direct Cross
9151,AMB544212000,HUD5347,Similar Cross
9152,AMB544212000,HUD5362,Similar Cross
9153,AMB544212000,MCM1055229,Similar Cross
9154,AMB544212000,MCM1055284,Direct Cross
9155,AMB544212000,PTX8528M,Similar Cross
9156,AMB544212000,PTX8528MB,Similar Cross
9157,AMB544212000,PTX8529MB,Similar Cross
9158,AMB544212000,TAH3015579,Direct Cross
9159,AMB544212000,TAH87HS4051,Direct Cross
9160,AMB544212000,VSI5404BD,Similar Cross
9161,AMB544212001,CPRM3312P,Direct Cross
9162,AMB544212030,CPRM3312M,Direct Cross
9163,AMB544212030,CPRM3322M,Direct Cross
9164,AMB544212030,MCM1055283,Direct Cross
9165,AMB544212031,CPRM3312M,Direct Cross
9166,AMB544212073,CPRM3322,Direct Cross
9167,AMB544212800,CPRM3312F,Similar Cross
9168,AMB544212830,CPRM3312M,Direct Cross
9169,AMB544216000,AMB544212000,Similar Cross
9170,AMB544216000,CPRM3312,Direct Cross
9171,AMB544216001,CPRM3322P,Direct Cross
9172,AMB544216030,AMB540211000,Direct Cross
9173,AMB544216030,CPRM3322,Direct Cross
9174,AMB544216031,AMB544216051,Direct Cross
9175,AMB544216031,CPRM3322,Direct Cross
9176,AMB544216051,AMB544216031,Direct Cross
9177,AMB544216051,AMB544216051H,Similar Cross
9178,AMB544216051,SIN544216051,Direct Cross
9179,AMB544216051H,AMB544216051,Similar Cross
9180,AMB56121ZCSS,DYNJAACALLDIV,Direct Cross
9181,AMB5903B6121Z,DYNJAACALLDIV,Direct Cross
9182,AMB5903F61Z,DYNJAACALLDIV,Direct Cross
9183,AMB601101000,AMB1101000BX,Direct Cross
9184,AMB606P13621,DYNJAACALLDIV,Direct Cross
9185,AMB606P13621,DYNJAPF6002,Class of Trade Cross
9186,AMB6216,DYNJAABV1,Direct Cross
9187,AMB6903F6121Z,DYNJAACALLDIV,Direct Cross
9188,AMB706121Z,DYNJAACALLDIV,Direct Cross
9189,AMB71410M1,AMB71410M1BX,Direct Cross
9190,AMB71410M1BX,AMB71410M1,Direct Cross
9191,AMB71415M1,AMB71415M1BX,Direct Cross
9192,AMB71415M1BX,AMB71415M1,Direct Cross
9193,AMB71505KC12,AMB1505KC12BX,Direct Cross
9194,AMB71508KC12,AMB1508KC12BX,Direct Cross
9195,AMB72000S25BX,AMB72000S25PK,Direct Cross
9196,AMB72000S25PK,AMB72000S25BX,Direct Cross
9197,AMB72000S25PK,MDSLFSVB01,Direct Cross
9198,AMB72000S25PK,MMM2228,Class of Trade Cross
9199,AMB72610M10,AMB72610M10BX,Direct Cross
9200,AMB72610M10BX,AMB72610M10,Direct Cross
9201,AMB72610M25,AMB72610M25BX,Direct Cross
9202,AMB72610M25BX,AMB72610M25,Direct Cross
9203,AMB72615M10,AMB72615M10BX,Direct Cross
9204,AMB72615M10BX,AMB72615M10,Direct Cross
9205,AMB72620M10,AMB72620M10BX,Direct Cross
9206,AMB72620M10BX,AMB72620M10,Direct Cross
9207,AMB7432536,AMB743253640,Direct Cross
9208,AMB743253640,AMB7432536,Direct Cross
9209,AMB753B6121Z,DYNJAACALLDIV,Direct Cross
9210,AMB7841P5,AMB7841P5BX,Direct Cross
9211,AMB7841P5,MDSM611650R,Similar Cross
9212,AMB7841P5BX,AMB7841P5,Direct Cross
9213,AMB7841P5BX,MDSM611650R,Direct Cross
9214,AMB81213F61Z,DYNJAA10230,Direct Cross
9215,AMB816P13621,DYNJAACALLDIV,Direct Cross
9216,AMB8400F61,DYNJAACALLDIV,Direct Cross
9217,AMB8403F136Z,DYNJAACALLDIV,Direct Cross
9218,AMB8603F6121Z,DYNJAACALLDIV,Direct Cross
9219,AMB8903B6121Z,DYNJAACALLDIV,Direct Cross
9220,AMB900000601,AMB900000602,Direct Cross
9221,AMB900000601,DYNJAACALLDIV,Direct Cross
9222,AMB900000602,AMB900000601,Direct Cross
9223,AMB900000602,DYNJAACALLDIV,Direct Cross
9224,AMB900000604,DYNJAAHY005,Direct Cross
9225,AMB900000606,AMB900000607,Similar Cross
9226,AMB900000606,DYNJAAHY005,Direct Cross
9227,AMB900000606,FBD900000606,Direct Cross
9228,AMB900000607,AMB900000606,Similar Cross
9229,AMB900000607,DYNJAAHY29,Direct Cross
9230,AMB900000609,DYNJAAHY01,Direct Cross
9231,AMB900000609,FBD900000609,Direct Cross
9232,AMB900000611,DYNJAACALLDIV,Direct Cross
9233,AMB900000614,DYNJAAHY005,Direct Cross
9234,AMB900000614,VTBHS4051,Direct Cross
9235,AMB900000617,VTBHS4151,Direct Cross
9236,AMB900000618,DYNJAAHY5005,Direct Cross
9237,AMB900000628,TAH87HS4011,Direct Cross
9238,AMB900000628,TAHAF3100MCP,Direct Cross
9239,AMB903F13621Z,DYNJAA0109,Direct Cross
9240,AMBAF1706121Z,DYNJAACALLDIV,Direct Cross
9241,AMBAF3766121Z,DYNJAACALLDIV,Direct Cross
9242,AMBAF41166121,DYNJAACALLDIV,Direct Cross
9243,AMBB1406121,DYNJAACALLDIV,Direct Cross
9244,AMBC3656121Z,DYNJAACALLDIV,Direct Cross
9245,AMBC3656121Z,VSIAMN520X4,Direct Cross
9246,AMBC5606121Z,DYNJAACALLDIV,Direct Cross
